# temperature	A	A+A	A+A+A	A+A+B	A+A+C	A+B	A+B+B	A+B+C	A+C	A+C+B	A+C+C	B	B+B	B+B+B	B+B+C	B+C	B+C+C	C	C+C	C+C+C
6.800000E+01	9.539956E-10	6.674570E-16	9.200564E-22	3.168948E-14	2.257788E-13	3.013437E-08	4.308579E-12	9.712625E-06	2.562766E-07	1.988329E-12	3.268752E-12	2.571954E-07	1.574823E-11	1.805097E-15	5.153808E-16	3.128581E-12	1.038334E-16	3.108569E-08	4.325621E-13	7.779036E-18
7.000000E+01	4.542279E-09	1.488182E-14	9.603602E-20	3.334370E-13	2.345847E-12	6.660556E-08	2.102021E-11	9.382477E-06	5.463220E-07	1.015539E-11	1.656556E-11	5.507071E-07	7.132092E-11	1.732944E-14	5.261585E-15	1.511174E-11	1.045203E-15	7.113612E-08	2.048390E-12	7.930174E-17
7.200000E+01	2.012068E-08	2.889149E-13	8.167986E-18	3.100018E-12	2.170309E-11	1.384134E-07	9.270066E-11	8.732607E-06	1.108591E-06	4.695433E-11	7.823217E-11	1.128082E-06	2.967439E-10	1.467113E-13	4.830128E-14	6.832816E-11	9.684853E-15	1.584901E-07	9.263630E-12	7.575186E-16
7.400000E+01	8.117462E-08	4.677937E-12	5.305020E-16	2.409761E-11	1.712689E-10	2.613681E-07	3.514740E-10	7.561291E-06	2.094890E-06	1.891406E-10	3.355481E-10	2.173945E-06	1.096481E-09	1.040883E-12	3.837160E-13	2.831446E-10	8.056753E-14	3.424243E-07	3.972014E-11	6.701543E-15
7.600000E+01	2.880834E-07	5.889659E-11	2.368193E-14	1.430876E-10	1.072270E-09	4.237991E-07	1.053964E-09	5.733802E-06	3.548842E-06	6.217880E-10	1.248754E-09	3.831668E-06	3.399421E-09	5.682627E-12	2.471722E-12	1.036776E-09	5.756186E-13	7.118053E-07	1.590506E-10	5.363477E-14
7.800000E+01	8.560781E-07	5.221553E-10	6.260152E-13	5.729491E-10	4.787728E-09	5.459847E-07	2.227703E-09	3.491072E-06	5.087600E-06	1.516695E-09	3.752386E-09	5.936798E-06	8.166596E-09	2.118529E-11	1.174666E-11	3.176630E-09	3.296130E-12	1.403166E-06	5.780724E-10	3.718576E-13
8.000000E+01	2.031902E-06	2.964552E-09	8.496790E-12	1.398807E-09	1.368058E-08	5.277184E-07	3.044704E-09	1.586021E-06	5.804314E-06	2.514507E-09	8.371867E-09	7.839730E-06	1.428582E-08	4.912588E-11	3.783634E-11	7.719292E-09	1.401794E-11	2.565286E-06	1.824381E-09	2.088859E-12
8.200000E+01	3.818389E-06	1.058659E-08	5.762551E-11	2.167091E-09	2.416919E-08	4.005759E-07	2.865161E-09	5.520263E-07	5.136134E-06	2.842451E-09	1.314866E-08	8.983764E-06	1.885976E-08	7.475642E-11	8.330794E-11	1.474051E-08	4.268661E-11	4.234119E-06	4.738005E-09	8.768066E-12
8.400000E+01	5.847978E-06	2.518421E-08	2.128061E-10	2.510391E-09	2.758504E-08	2.748072E-07	2.245807E-09	1.671116E-07	3.579868E-06	2.416808E-09	1.437461E-08	9.482806E-06	2.116724E-08	8.925013E-11	1.376692E-10	2.288510E-08	9.383523E-11	6.151734E-06	9.624200E-09	2.548043E-11
8.600000E+01	7.559907E-06	4.279431E-08	4.750599E-10	2.506983E-09	2.190844E-08	1.932590E-07	1.714279E-09	5.056489E-08	2.045699E-06	1.751801E-09	1.125923E-08	9.673195E-06	2.222650E-08	9.650114E-11	1.861612E-10	3.002528E-08	1.532822E-10	7.796866E-06	1.501187E-08	4.986753E-11
8.800000E+01	8.631252E-06	5.684679E-08	7.338400E-10	2.357360E-09	1.380110E-08	1.481469E-07	1.371309E-09	1.718200E-08	1.045551E-06	1.244579E-09	7.040387E-09	9.746902E-06	2.280868E-08	1.008799E-10	2.204581E-10	3.486357E-08	1.995633E-10	8.834693E-06	1.887613E-08	7.069878E-11
9.000000E+01	9.170308E-06	6.551959E-08	9.170715E-10	2.207555E-09	8.146777E-09	1.244650E-07	1.172747E-09	7.059533E-09	5.374213E-07	9.643672E-10	4.110019E-09	9.777719E-06	2.323309E-08	1.043595E-10	2.427444E-10	3.774615E-08	2.279515E-10	9.357684E-06	2.090500E-08	8.292699E-11
9.200000E+01	9.416630E-06	7.065862E-08	1.038179E-09	2.110060E-09	5.102012E-09	1.120818E-07	1.064094E-09	3.583045E-09	3.044262E-07	8.335864E-10	2.525611E-09	9.791384E-06	2.361325E-08	1.076676E-10	2.586988E-10	3.956673E-08	2.455166E-10	9.596695E-06	2.186231E-08	8.934641E-11
9.400000E+01	9.527657E-06	7.408719E-08	1.127561E-09	2.065009E-09	3.582464E-09	1.055755E-07	1.008307E-09	2.214031E-09	1.981843E-07	7.811197E-10	1.727942E-09	9.797302E-06	2.399028E-08	1.110773E-10	2.722115E-10	4.092878E-08	2.586612E-10	9.705027E-06	2.237873E-08	9.331674E-11
9.600000E+01	9.578123E-06	7.678331E-08	1.204220E-09	2.060241E-09	2.830374E-09	1.022550E-07	9.841539E-10	1.609395E-09	1.479724E-07	7.683539E-10	1.326893E-09	9.799270E-06	2.438020E-08	1.147014E-10	2.851994E-10	4.212268E-08	2.707188E-10	9.755397E-06	2.276488E-08	9.666168E-11
9.800000E+01	9.600480E-06	7.919334E-08	1.277492E-09	2.085063E-09	2.460198E-09	1.007786E-07	9.800009E-10	1.320380E-09	1.232305E-07	7.769373E-10	1.123600E-09	9.798988E-06	2.478970E-08	1.185936E-10	2.985361E-10	4.327535E-08	2.831903E-10	9.779222E-06	2.315087E-08	1.001926E-10
