# temperature	A	A+A	A+A+A	A+A+C	A+A+B	A+C	A+C+C	A+C+B	A+B	A+B+C	A+B+B	C	C+C	C+C+C	C+C+B	C+B	C+B+B	B	B+B	B+B+B
6.200000E+01	6.345692E-12	3.235221E-20	3.247734E-28	7.740760E-16	1.061375E-16	1.369607E-07	7.368234E-13	3.910506E-13	1.421266E-08	3.998488E-04	1.016437E-12	1.421849E-08	1.269543E-13	1.319601E-18	1.750568E-17	8.232637E-13	7.730135E-17	1.369567E-07	4.762688E-12	3.067395E-16
6.400000E+01	3.553462E-11	9.768617E-19	5.290358E-26	1.024693E-14	1.410511E-15	3.217815E-07	4.340627E-12	2.452679E-12	3.486697E-08	3.996433E-04	5.952708E-12	3.490059E-08	6.796604E-13	1.589941E-17	2.125945E-16	4.598397E-12	9.863550E-16	3.217610E-07	2.559769E-11	3.788073E-15
6.600000E+01	1.900574E-10	2.711212E-17	7.620624E-24	1.270778E-13	1.770102E-14	7.370840E-07	2.451909E-11	1.455957E-11	8.359708E-08	3.991791E-04	3.338137E-11	8.376449E-08	3.496476E-12	1.815976E-16	2.443096E-15	2.463889E-11	1.183571E-14	7.369777E-07	1.314603E-10	4.377375E-14
6.800000E+01	9.686995E-10	6.881906E-16	9.632579E-22	1.470712E-12	2.087944E-13	1.644033E-06	1.324777E-10	8.150952E-11	1.955343E-07	3.981591E-04	1.786543E-10	1.963901E-07	1.726499E-11	1.961565E-15	2.648336E-14	1.263062E-10	1.329609E-13	1.643545E-06	6.430850E-10	4.710374E-13
7.000000E+01	4.692556E-09	1.588281E-14	1.058866E-19	1.581173E-11	2.301977E-12	3.564452E-06	6.825876E-10	4.286043E-10	4.451045E-07	3.959837E-04	9.086659E-10	4.492608E-07	8.170138E-11	1.997596E-14	2.696703E-13	6.173603E-10	1.390454E-12	3.562349E-06	2.984341E-09	4.690637E-12
7.200000E+01	2.152245E-08	3.305736E-13	9.996829E-18	1.568870E-10	2.353032E-11	7.491823E-06	3.340171E-09	2.105025E-09	9.821833E-07	3.914943E-04	4.363777E-09	1.001312E-06	3.697561E-10	1.910269E-13	2.564440E-12	2.863730E-09	1.342939E-11	7.483520E-06	1.305907E-08	4.283112E-11
7.400000E+01	9.290851E-08	6.128085E-12	7.954130E-16	1.421773E-09	2.202176E-10	1.519420E-05	1.542243E-08	9.569933E-09	2.086870E-06	3.825782E-04	1.957688E-08	2.169932E-06	1.595048E-09	1.705372E-12	2.256994E-11	1.251692E-08	1.183332E-10	1.516548E-05	5.336005E-08	3.533658E-10
7.600000E+01	3.737705E-07	9.914343E-11	5.172229E-14	1.155977E-08	1.848862E-09	2.948796E-05	6.645171E-08	3.965786E-08	4.220616E-06	3.657040E-04	8.056950E-08	4.558609E-06	6.523454E-09	1.408834E-11	1.812200E-10	5.096653E-08	9.326713E-10	2.941147E-05	2.002916E-07	2.570017E-09
7.800000E+01	1.377608E-06	1.352149E-09	2.608687E-12	8.168133E-08	1.346181E-08	5.393788E-05	2.620939E-07	1.458954E-07	7.971780E-06	3.358166E-04	2.951173E-07	9.244373E-06	2.509107E-08	1.063365E-10	1.298087E-09	1.898880E-07	6.371003E-09	5.386599E-05	6.723044E-07	1.582419E-08
8.000000E+01	4.518889E-06	1.466281E-08	9.346348E-11	4.744020E-07	8.054067E-08	9.050323E-05	9.152075E-07	4.564208E-07	1.366251E-05	2.878866E-04	9.176409E-07	1.798539E-05	8.967754E-08	7.198823E-10	8.021427E-09	6.300296E-07	3.594942E-08	9.126420E-05	1.935993E-06	7.750118E-08
8.200000E+01	1.264285E-05	1.160609E-07	2.091749E-09	2.078699E-06	3.680879E-07	1.334139E-04	2.679450E-06	1.143937E-06	2.054916E-05	2.221615E-04	2.277209E-06	3.321718E-05	2.916050E-07	4.233533E-09	4.070386E-08	1.791664E-06	1.568827E-07	1.391883E-04	4.527153E-06	2.780238E-07
8.400000E+01	2.893104E-05	6.163749E-07	2.576671E-08	6.268995E-06	1.208532E-06	1.644497E-04	6.131547E-06	2.183779E-06	2.674156E-05	1.509986E-04	4.298644E-06	5.712226E-05	8.298130E-07	2.040000E-08	1.591409E-07	4.179852E-06	4.945900E-07	1.865251E-04	8.189642E-06	6.792194E-07
8.600000E+01	5.352310E-05	2.145041E-06	1.685865E-07	1.260322E-05	2.857183E-06	1.662214E-04	1.049964E-05	3.236436E-06	3.111012E-05	9.341817E-05	6.274521E-06	8.948298E-05	1.977313E-06	7.538395E-08	4.590601E-07	7.835101E-06	1.104546E-06	2.199414E-04	1.149067E-05	1.134341E-06
8.800000E+01	8.221992E-05	5.158369E-06	6.343239E-07	1.794043E-05	5.186488E-06	1.426793E-04	1.376339E-05	4.117935E-06	3.421659E-05	5.685002E-05	7.679282E-06	1.265623E-04	3.873811E-06	2.078501E-07	9.929953E-07	1.210948E-05	1.856611E-06	2.363239E-04	1.340856E-05	1.437897E-06
9.000000E+01	1.092313E-04	9.296031E-06	1.549861E-06	2.005742E-05	7.737099E-06	1.110813E-04	1.474120E-05	4.923895E-06	3.662273E-05	3.604478E-05	8.524089E-06	1.623795E-04	6.294714E-06	4.332960E-07	1.695542E-06	1.617990E-05	2.570352E-06	2.415337E-04	1.417710E-05	1.573086E-06
9.200000E+01	1.303285E-04	1.353482E-05	2.752348E-06	1.949979E-05	9.980535E-06	8.406723E-05	1.391593E-05	5.684169E-06	3.830454E-05	2.443254E-05	8.979806E-06	1.914797E-04	8.703582E-06	7.097087E-07	2.413539E-06	1.949408E-05	3.147304E-06	2.417774E-04	1.439790E-05	1.621063E-06
9.400000E+01	1.443624E-04	1.700902E-05	3.922332E-06	1.793712E-05	1.163665E-05	6.548956E-05	1.245280E-05	6.335637E-06	3.926458E-05	1.795794E-05	9.204506E-06	2.116565E-04	1.064400E-05	9.679750E-07	3.019749E-06	2.190955E-05	3.576688E-06	2.404785E-04	1.445356E-05	1.642611E-06
9.600000E+01	1.525419E-04	1.947530E-05	4.864430E-06	1.648308E-05	1.274023E-05	5.410865E-05	1.114035E-05	6.849977E-06	3.970407E-05	1.434797E-05	9.316559E-06	2.239867E-04	1.200106E-05	1.170000E-06	3.479484E-06	2.357953E-05	3.892330E-06	2.389107E-04	1.449176E-05	1.662243E-06
9.800000E+01	1.567321E-04	2.110662E-05	5.558445E-06	1.547427E-05	1.346105E-05	4.747808E-05	1.021637E-05	7.250881E-06	3.985319E-05	1.232263E-05	9.387524E-06	2.307886E-04	1.289399E-05	1.316939E-06	3.820571E-06	2.473890E-05	4.133961E-06	2.373619E-04	1.454557E-05	1.685585E-06
