# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
6.800000E+01	3.865550E-05	9.928715E-08	3.664064E-10	1.814743E-12	1.688069E-08	4.182849E-06	1.726856E-06	1.053827E-03	4.702395E-05	1.396446E-06	2.943833E-09	4.159677E-05	3.626738E-08	4.795423E-11	7.971304E-14
7.000000E+01	5.668474E-05	1.954234E-07	1.018081E-09	7.016486E-12	3.212589E-08	5.401960E-06	1.949774E-06	1.050253E-03	3.789474E-05	2.073069E-06	6.285639E-09	6.031126E-05	7.377948E-08	1.378003E-10	3.236127E-13
7.200000E+01	8.151189E-05	3.741528E-07	2.708244E-09	2.564673E-11	5.964122E-08	6.923210E-06	2.182816E-06	1.035369E-03	3.047047E-05	3.017828E-06	1.300149E-08	8.597493E-05	1.455054E-07	3.781667E-10	1.236015E-12
7.400000E+01	1.147413E-04	6.945477E-07	6.865476E-09	8.805292E-11	1.075819E-07	8.786828E-06	2.421340E-06	1.007939E-03	2.442653E-05	4.291934E-06	2.590207E-08	1.202525E-04	2.770202E-07	9.849136E-10	4.404475E-12
7.600000E+01	1.577756E-04	1.244773E-06	1.648587E-08	2.816120E-10	1.874932E-07	1.100506E-05	2.657045E-06	9.667983E-04	1.950731E-05	5.935365E-06	4.934872E-08	1.646410E-04	5.066686E-07	2.416865E-09	1.450290E-11
7.800000E+01	2.114113E-04	2.142961E-06	3.722997E-08	8.308204E-10	3.134848E-07	1.353607E-05	2.877735E-06	9.113519E-04	1.552044E-05	7.937816E-06	8.917286E-08	2.200713E-04	8.855076E-07	5.543391E-09	4.366022E-11
8.000000E+01	2.753498E-04	3.524555E-06	7.846097E-08	2.237530E-09	4.988941E-07	1.625837E-05	3.068403E-06	8.422013E-04	1.232319E-05	1.020734E-05	1.514922E-07	2.864119E-04	1.470683E-06	1.178650E-08	1.188546E-10
8.200000E+01	3.477814E-04	5.509635E-06	1.531926E-07	5.447361E-09	7.500091E-07	1.896323E-05	3.213879E-06	7.617121E-04	9.803319E-06	1.255506E-05	2.399803E-07	3.620212E-04	2.309375E-06	2.305556E-08	2.896310E-10
8.400000E+01	4.252898E-04	8.154139E-06	2.756118E-07	1.190169E-08	1.059018E-06	2.138561E-05	3.302541E-06	6.741831E-04	7.859600E-06	1.471952E-05	3.523197E-07	4.435944E-04	3.415649E-06	4.125600E-08	6.270405E-10
8.600000E+01	5.032910E-04	1.140673E-05	4.559794E-07	2.327261E-08	1.401428E-06	2.327830E-05	3.329859E-06	5.853166E-04	6.389875E-06	1.643918E-05	4.782933E-07	5.265418E-04	4.751095E-06	6.738023E-08	1.202417E-09
8.800000E+01	5.769818E-04	1.510275E-05	6.953558E-07	4.085743E-08	1.742495E-06	2.449908E-05	3.300364E-06	5.010069E-04	5.291714E-06	1.754441E-05	6.021224E-07	6.059132E-04	6.224387E-06	1.006642E-07	2.048379E-09
9.000000E+01	6.424339E-04	1.900924E-05	9.841530E-07	6.499362E-08	2.050551E-06	2.505829E-05	3.227008E-06	4.259462E-04	4.472227E-06	1.801377E-05	7.086022E-07	6.775338E-04	7.715672E-06	1.385170E-07	3.128577E-09
9.200000E+01	6.973299E-04	2.289836E-05	1.306127E-06	9.497832E-08	2.308515E-06	2.509679E-05	3.127904E-06	3.627372E-04	3.857280E-06	1.795952E-05	7.889189E-07	7.388246E-04	9.113526E-06	1.774221E-07	4.344958E-09
9.400000E+01	7.410621E-04	2.660657E-05	1.645008E-06	1.295601E-07	2.516557E-06	2.481595E-05	3.021773E-06	3.118558E-04	3.393541E-06	1.756116E-05	8.423407E-07	7.889807E-04	1.034310E-05	2.141953E-07	5.578963E-09
9.600000E+01	7.743160E-04	3.005413E-05	1.989458E-06	1.675939E-07	2.686809E-06	2.440768E-05	2.924145E-06	2.722546E-04	3.044429E-06	1.699554E-05	8.738697E-07	8.285866E-04	1.137357E-05	2.468030E-07	6.734459E-09
9.800000E+01	7.984735E-04	3.323046E-05	2.334473E-06	2.084490E-07	2.835875E-06	2.401604E-05	2.845634E-06	2.421406E-04	2.784535E-06	1.639709E-05	8.906341E-07	8.590089E-04	1.220884E-05	2.744713E-07	7.757484E-09
