# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
6.800000E+01	2.133970E-06	1.501564E-09	1.775376E-12	2.753830E-15	6.354969E-10	4.538726E-07	4.498514E-06	7.183031E-04	3.469564E-05	2.616766E-07	2.993429E-10	2.327602E-06	1.126264E-09	1.003054E-12	1.164851E-15
7.000000E+01	4.652795E-06	6.771400E-09	1.693098E-11	5.539076E-14	2.969949E-09	9.710447E-07	5.147515E-06	7.191424E-04	3.166356E-05	6.165776E-07	1.521177E-09	5.013469E-06	5.127752E-09	9.683890E-12	2.385175E-14
7.200000E+01	9.819636E-06	2.888210E-08	1.485804E-10	9.985345E-13	1.327087E-08	2.045937E-06	5.843379E-06	7.134534E-04	2.971707E-05	1.408858E-06	7.324854E-09	1.048238E-05	2.209001E-08	8.618436E-11	4.386158E-13
7.400000E+01	1.997294E-05	1.153925E-07	1.182812E-09	1.582537E-11	5.594458E-08	4.201158E-06	6.568135E-06	6.978836E-04	2.853694E-05	3.095765E-06	3.301169E-08	2.117810E-05	8.918696E-08	6.969363E-10	7.105182E-12
7.600000E+01	3.884390E-05	4.246775E-07	8.331655E-09	2.132739E-10	2.173185E-07	8.261798E-06	7.288610E-06	6.665353E-04	2.770669E-05	6.443183E-06	1.362178E-07	4.102037E-05	3.320828E-07	4.998059E-09	9.815372E-11
7.800000E+01	7.126230E-05	1.400061E-06	4.980531E-08	2.311519E-09	7.473954E-07	1.512163E-05	7.988075E-06	6.111474E-04	2.665225E-05	1.237022E-05	4.952130E-07	7.516113E-05	1.109890E-06	3.051985E-08	1.095188E-09
8.000000E+01	1.207974E-04	3.963812E-06	2.371870E-07	1.851791E-08	2.141175E-06	2.470236E-05	8.753273E-06	5.251904E-04	2.471884E-05	2.103359E-05	1.492840E-06	1.276056E-04	3.193576E-06	1.490410E-07	9.077919E-09
8.200000E+01	1.846221E-04	9.170343E-06	8.352829E-07	9.928185E-08	4.763332E-06	3.443088E-05	9.757320E-06	4.145830E-04	2.157445E-05	3.026489E-05	3.471040E-06	1.957534E-04	7.521173E-06	5.395137E-07	5.051438E-08
8.400000E+01	2.506712E-04	1.681988E-05	2.078685E-06	3.352905E-07	7.940360E-06	4.032072E-05	1.087926E-05	3.042960E-04	1.769359E-05	3.622457E-05	5.982973E-06	2.669894E-04	1.403349E-05	1.378562E-06	1.767754E-07
8.600000E+01	3.051554E-04	2.489888E-05	3.754687E-06	7.391171E-07	1.032747E-05	4.128514E-05	1.162332E-05	2.204554E-04	1.405655E-05	3.751546E-05	7.943024E-06	3.263293E-04	2.107126E-05	2.545084E-06	4.013134E-07
8.800000E+01	3.427547E-04	3.148732E-05	5.360246E-06	1.191382E-06	1.148324E-05	3.957717E-05	1.179721E-05	1.686519E-04	1.128557E-05	3.608573E-05	8.917168E-06	3.676234E-04	2.692741E-05	3.692313E-06	6.610036E-07
9.000000E+01	3.661120E-04	3.611937E-05	6.617081E-06	1.582968E-06	1.185000E-05	3.739112E-05	1.163739E-05	1.397377E-04	9.412812E-06	3.406648E-05	9.229323E-06	3.934761E-04	3.111508E-05	4.609204E-06	8.914763E-07
9.200000E+01	3.799018E-04	3.920457E-05	7.524919E-06	1.886242E-06	1.190200E-05	3.560530E-05	1.140090E-05	1.237908E-04	8.209705E-06	3.237135E-05	9.269305E-06	4.088997E-04	3.394571E-05	5.282069E-06	1.073189E-06
9.400000E+01	3.877429E-04	4.126182E-05	8.176944E-06	2.116434E-06	1.188257E-05	3.434965E-05	1.121078E-05	1.146649E-04	7.447584E-06	3.116387E-05	9.244405E-06	4.178415E-04	3.585956E-05	5.771128E-06	1.212801E-06
9.600000E+01	3.918834E-04	4.266693E-05	8.659126E-06	2.295404E-06	1.188266E-05	3.353333E-05	1.110084E-05	1.091673E-04	6.967438E-06	3.037156E-05	9.233676E-06	4.227674E-04	3.718578E-05	6.136080E-06	1.322192E-06
9.800000E+01	3.936435E-04	4.365479E-05	9.030603E-06	2.440212E-06	1.192774E-05	3.304271E-05	1.106944E-05	1.056965E-04	6.670122E-06	2.989017E-05	9.259878E-06	4.251235E-04	3.813393E-05	6.419330E-06	1.411139E-06
