Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1.03E+1	******	******	******	******	5	-5.21E-2	-2.54E-5	-1.28E-2
1.04E+1	******	******	******	******	5	-5.14E-2	-4.64E-5	-1.26E-2
1.05E+1	******	******	******	******	5	-7.44E-2	8.27E-6	-1.83E-2
1.06E+1	******	******	******	******	5	-1.36E-2	-8.68E-5	-3.35E-3
1.07E+1	******	******	******	******	5	9.35E-3	-4.48E-5	2.3E-3
1.08E+1	******	******	******	******	5	-1.73E-2	-7.22E-5	-4.26E-3
1.09E+1	******	******	******	******	5	9.3E-3	-6.91E-5	2.29E-3
1.1E+1	******	******	******	******	5	-1.04E-2	8.93E-5	-2.56E-3
1.11E+1	******	******	******	******	5	7.22E-3	7.61E-6	1.77E-3
1.12E+1	******	******	******	******	5	-1.17E-1	1.37E-4	-2.88E-2
1.13E+1	******	******	******	******	5	-6.67E-2	1.17E-4	-1.64E-2
1.14E+1	******	******	******	******	5	-4.22E-2	2.65E-5	-1.04E-2
1.15E+1	******	******	******	******	5	-1.49E-1	2.09E-4	-3.67E-2
1.16E+1	******	******	******	******	5	-1.01E-1	6.59E-5	-2.49E-2
1.17E+1	******	******	******	******	5	-4.68E-2	3.09E-5	-1.15E-2
1.18E+1	******	******	******	******	5	-1.34E-1	1.16E-4	-3.29E-2
1.19E+1	******	******	******	******	5	-6.75E-2	1.37E-5	-1.66E-2
1.2E+1	******	******	******	******	5	-2.42E-3	-1.06E-4	-5.95E-4
1.21E+1	******	******	******	******	5	-6.09E-2	-4.93E-5	-1.5E-2
1.22E+1	******	******	******	******	5	-4.24E-2	-1.23E-4	-1.04E-2
1.23E+1	******	******	******	******	5	-5.25E-3	1.32E-5	-1.29E-3
1.24E+1	******	******	******	******	5	5.51E-2	-1.45E-4	1.35E-2
1.25E+1	******	******	******	******	5	-3.98E-2	-7.58E-5	-9.77E-3
1.26E+1	******	******	******	******	5	-1.52E-2	5.34E-5	-3.72E-3
1.27E+1	******	******	******	******	5	2.71E-2	-5.14E-5	6.67E-3
1.28E+1	******	******	******	******	5	-8.33E-2	1.24E-4	-2.05E-2
1.29E+1	******	******	******	******	5	-4.52E-2	6.51E-5	-1.11E-2
1.3E+1	******	******	******	******	5	-1.42E-2	4.9E-5	-3.49E-3
1.31E+1	******	******	******	******	5	-1.12E-1	1.82E-4	-2.76E-2
1.32E+1	******	******	******	******	5	-1.47E-1	2.31E-4	-3.62E-2
1.33E+1	******	******	******	******	5	1.51E-2	-3.25E-5	3.71E-3
1.34E+1	******	******	******	******	5	-9.65E-2	3.81E-5	-2.37E-2
1.35E+1	******	******	******	******	5	-1.09E-1	7.24E-5	-2.69E-2
1.36E+1	******	******	******	******	5	-1.68E-2	-2.12E-5	-4.13E-3
1.37E+1	******	******	******	******	5	-1.16E-2	-7.15E-5	-2.84E-3
1.38E+1	******	******	******	******	5	-7.22E-2	2.95E-5	-1.77E-2
1.39E+1	******	******	******	******	5	-2.88E-2	-3.55E-5	-7.07E-3
1.4E+1	******	******	******	******	5	4.32E-2	-7.95E-5	1.06E-2
1.41E+1	******	******	******	******	5	-3.69E-2	-6.59E-6	-9.06E-3
1.42E+1	******	******	******	******	5	9.58E-3	2.36E-5	2.35E-3
1.43E+1	******	******	******	******	5	2.82E-2	2.32E-5	6.93E-3
1.44E+1	******	******	******	******	5	-6.94E-2	1.34E-4	-1.7E-2
1.45E+1	******	******	******	******	5	-4.7E-2	5.88E-5	-1.16E-2
1.46E+1	******	******	******	******	5	-1.99E-2	1.56E-4	-4.9E-3
1.47E+1	******	******	******	******	5	-6.12E-2	5.53E-5	-1.5E-2
1.48E+1	******	******	******	******	5	-1.28E-1	1.58E-4	-3.16E-2
1.49E+1	******	******	******	******	5	-4.71E-2	9.77E-5	-1.16E-2
1.5E+1	******	******	******	******	5	-8.14E-2	4.83E-5	-2E-2
1.51E+1	******	******	******	******	5	-1.06E-1	1.11E-4	-2.59E-2
1.52E+1	******	******	******	******	5	-4.3E-2	-3.53E-5	-1.06E-2
1.53E+1	******	******	******	******	5	-1.16E-2	-9.32E-6	-2.85E-3
1.54E+1	******	******	******	******	5	-4.44E-2	-3.81E-5	-1.09E-2
1.55E+1	******	******	******	******	5	6.87E-3	-2.52E-5	1.69E-3
1.56E+1	******	******	******	******	5	4.35E-2	-8.86E-5	1.07E-2
1.57E+1	******	******	******	******	5	-1.77E-2	-1.78E-5	-4.34E-3
1.58E+1	******	******	******	******	5	-3.21E-2	4.61E-5	-7.89E-3
1.59E+1	******	******	******	******	5	4.22E-2	-4.49E-5	1.04E-2
1.6E+1	******	******	******	******	5	-2.68E-2	2.08E-5	-6.59E-3
1.61E+1	******	******	******	******	5	-6.65E-2	1.42E-4	-1.63E-2
1.62E+1	******	******	******	******	5	-8.75E-4	6.45E-5	-2.15E-4
1.63E+1	******	******	******	******	5	-1.53E-2	7.53E-5	-3.76E-3
1.64E+1	******	******	******	******	5	-1.26E-1	1.38E-4	-3.09E-2
1.65E+1	******	******	******	******	5	-7.45E-2	1.89E-4	-1.83E-2
1.66E+1	******	******	******	******	5	-1.62E-2	1.87E-7	-3.99E-3
1.67E+1	******	******	******	******	5	-1.09E-1	8.8E-5	-2.69E-2
1.68E+1	******	******	******	******	5	-5.11E-2	3.87E-6	-1.26E-2
1.69E+1	******	******	******	******	5	3.05E-3	-7.54E-5	7.5E-4
1.7E+1	******	******	******	******	5	1.65E-2	-1.64E-4	4.06E-3
1.71E+1	******	******	******	******	5	-4.94E-2	-2.24E-5	-1.21E-2
1.72E+1	******	******	******	******	5	7.37E-2	-1.32E-4	1.81E-2
1.73E+1	******	******	******	******	5	4.72E-2	-2.19E-5	1.16E-2
1.74E+1	******	******	******	******	5	1.8E-2	-6.82E-5	4.43E-3
1.75E+1	******	******	******	******	5	3.41E-2	-3.58E-5	8.38E-3
1.76E+1	******	******	******	******	5	5.05E-2	2.56E-5	1.24E-2
1.77E+1	******	******	******	******	5	-2.73E-2	9.96E-5	-6.71E-3
1.78E+1	******	******	******	******	5	-4.92E-2	1.02E-4	-1.21E-2
1.79E+1	******	******	******	******	5	-1.41E-3	1E-4	-3.45E-4
1.8E+1	******	******	******	******	5	-1.51E-2	3.33E-5	-3.7E-3
1.81E+1	******	******	******	******	5	-1.38E-1	2.5E-4	-3.38E-2
1.82E+1	******	******	******	******	5	-1.91E-2	7.9E-5	-4.7E-3
1.83E+1	******	******	******	******	5	9.18E-3	-5.45E-5	2.26E-3
1.84E+1	******	******	******	******	5	-8.73E-2	1.82E-6	-2.15E-2
1.85E+1	******	******	******	******	5	-8.64E-3	-1.67E-5	-2.12E-3
1.86E+1	******	******	******	******	5	2.13E-2	-5.57E-5	5.25E-3
1.87E+1	******	******	******	******	5	-8.55E-3	-2.54E-6	-2.1E-3
1.88E+1	******	******	******	******	5	-9.72E-3	-2.22E-5	-2.39E-3
1.89E+1	******	******	******	******	5	6.7E-2	-1.87E-4	1.65E-2
1.9E+1	******	******	******	******	5	2.65E-2	6.67E-5	6.52E-3
1.91E+1	******	******	******	******	5	7.65E-3	-8.87E-5	1.88E-3
1.92E+1	******	******	******	******	5	2.44E-2	2.31E-5	6.01E-3
1.93E+1	******	******	******	******	5	5.91E-2	-5.63E-6	1.45E-2
1.94E+1	******	******	******	******	5	-4.63E-2	1.11E-4	-1.14E-2
1.95E+1	******	******	******	******	5	-4.22E-2	1.46E-4	-1.04E-2
1.96E+1	******	******	******	******	5	7.23E-3	7.37E-5	1.78E-3
1.97E+1	******	******	******	******	5	-3.24E-2	1.14E-4	-7.97E-3
1.98E+1	******	******	******	******	5	-9.55E-2	1.27E-4	-2.35E-2
1.99E+1	******	******	******	******	5	1.5E-2	1.36E-5	3.67E-3
2E+1	******	******	******	******	5	-1.9E-2	1.61E-5	-4.67E-3
2.01E+1	******	******	******	******	5	-1.28E-1	1.64E-4	-3.14E-2
2.02E+1	******	******	******	******	5	3.24E-2	-1.13E-4	7.95E-3
2.03E+1	******	******	******	******	5	2.52E-2	-5.53E-5	6.2E-3
2.04E+1	******	******	******	******	5	-3.93E-3	-1.07E-4	-9.67E-4
2.05E+1	******	******	******	******	5	-1.17E-3	-8.88E-5	-2.87E-4
2.06E+1	******	******	******	******	5	7.74E-2	-5.42E-5	1.9E-2
2.07E+1	******	******	******	******	5	3.79E-2	-6.41E-5	9.3E-3
2.08E+1	******	******	******	******	5	-4.24E-3	-1.33E-5	-1.04E-3
2.09E+1	******	******	******	******	5	3.07E-2	2.07E-5	7.55E-3
2.1E+1	******	******	******	******	5	4.68E-2	1.58E-5	1.15E-2
2.11E+1	******	******	******	******	5	-7.18E-2	8.8E-5	-1.76E-2
2.12E+1	******	******	******	******	5	-2.75E-2	1.54E-4	-6.76E-3
2.13E+1	******	******	******	******	5	-3.17E-2	1.23E-4	-7.8E-3
2.14E+1	******	******	******	******	5	-8.05E-2	1.18E-4	-1.98E-2
2.15E+1	******	******	******	******	5	-6.92E-2	1.14E-4	-1.7E-2
2.16E+1	******	******	******	******	5	-3.15E-2	7.8E-5	-7.74E-3
2.17E+1	******	******	******	******	5	-7.64E-2	6.99E-5	-1.88E-2
2.18E+1	******	******	******	******	5	-7.09E-2	4.9E-5	-1.74E-2
2.19E+1	******	******	******	******	5	1.04E-3	-3.71E-5	2.55E-4
2.2E+1	******	******	******	******	5	-2.51E-2	2.54E-5	-6.18E-3
2.21E+1	******	******	******	******	5	-3.88E-2	-1.19E-4	-9.55E-3
